[ 2017-07-14T14:42:44+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-14T14:42:44+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-14T14:42:50+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-14T14:42:49+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008733s ]
[ 2017-07-14T14:42:49+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006272s ]
[ 2017-07-14T14:42:49+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009235s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.007477s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007458s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007348s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-14 14:42:50',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.007669s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-14 14:42:50',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.006370s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006729s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.006124s ]
[ 2017-07-14T14:42:50+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='69c03d2d50ec736b870a71435249bec3',`username`='tangchaopei',`logintime`='2017-07-14 14:42:50' WHERE username='tangchaopei' [ RunTime:0.005627s ]
