[ 2017-07-13T16:45:23+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-13T16:45:23+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-13T16:45:27+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007952s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006725s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007854s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.008274s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006990s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006844s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-13 16:45:27',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.007368s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-13 16:45:27',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.006954s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007356s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.006771s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='5689aaa553a51c660f64ff3c041af689',`username`='tangchaopei',`logintime`='2017-07-13 16:45:27' WHERE username='tangchaopei' [ RunTime:0.005999s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007690s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008006s ]
[ 2017-07-13T16:45:27+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'24','用户登录',1,'127.0.0.1','2017-07-13 16:45:27') [ RunTime:0.012891s ]

[ 2017-07-13T16:45:28+08:00 ] 127.0.0.1 /
[ 2017-07-13T16:45:27+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008459s ]
[ 2017-07-13T16:45:27+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007587s ]
[ 2017-07-13T16:45:27+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008236s ]
[ 2017-07-13T16:45:27+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.008635s ]
[ 2017-07-13T16:45:27+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.007639s ]
[ 2017-07-13T16:45:28+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.011163s ]
[ 2017-07-13T16:45:28+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=24 LIMIT 1   [ RunTime:0.006736s ]
[ 2017-07-13T16:45:28+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.007556s ]
[ 2017-07-13T16:45:28+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=24 and at.status=1 LIMIT 1   [ RunTime:0.006989s ]

[ 2017-07-13T16:45:28+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-13T16:45:28+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009121s ]
