[ 2017-06-22T09:09:00+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-22T09:09:00+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-22T09:09:05+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006769s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005273s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006063s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.005901s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.012665s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006754s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-22 09:09:05',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006642s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-22 09:09:05',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006692s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006642s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=baidu LIMIT 1   [ RunTime:0.007208s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('5b0a3ac714f7157f855fd92f9ae877fc','baidu','2017-06-22 09:09:05','9') [ RunTime:0.005238s ]
[ 2017-06-22T09:09:05+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007613s ]

[ 2017-06-22T09:09:05+08:00 ] 127.0.0.1 /
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007083s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008997s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006982s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.006223s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006387s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008081s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.006223s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005843s ]
[ 2017-06-22T09:09:05+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.006042s ]

[ 2017-06-22T09:09:06+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-06-22T09:09:06+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007157s ]
[ 2017-06-22T09:09:06+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005916s ]
[ 2017-06-22T09:09:06+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007562s ]
