[ 2017-06-23T10:44:24+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:44:24+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:44:32+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007870s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006503s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007107s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.216439s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007889s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006190s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-23 10:44:32',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006468s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-23 10:44:32',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006023s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006522s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.005956s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('939a7cb56a95978c115f893fbf644b07','baidu','2017-06-23 10:44:32','9') [ RunTime:0.006370s ]
[ 2017-06-23T10:44:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006269s ]

[ 2017-06-23T10:46:48+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:46:53+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006528s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005883s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006603s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.005982s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006241s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005729s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-23 10:46:53',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005978s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-23 10:46:53',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005979s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006372s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.005574s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='47eae194d23e6467b18a0d72499d8f2e',`username`='baidu',`logintime`='2017-06-23 10:46:53' WHERE username='baidu' [ RunTime:0.005547s ]
[ 2017-06-23T10:46:53+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006304s ]

[ 2017-06-23T10:46:58+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:48:16+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:48:20+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006528s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004760s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005703s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006201s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005075s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.004951s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-23 10:48:20',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.004996s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-23 10:48:20',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.004688s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006645s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.005575s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='d9b0a119650cf93fee7bfaac76c9a674',`username`='baidu',`logintime`='2017-06-23 10:48:20' WHERE username='baidu' [ RunTime:0.005061s ]
[ 2017-06-23T10:48:20+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006150s ]

[ 2017-06-23T10:48:47+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:48:51+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008203s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006025s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007744s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006969s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006349s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006993s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-23 10:48:51',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006154s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-23 10:48:51',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.006603s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.009175s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.006821s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='e9ab3fe480c8b219d964e059eaca7a2b',`username`='baidu',`logintime`='2017-06-23 10:48:51' WHERE username='baidu' [ RunTime:0.006890s ]
[ 2017-06-23T10:48:51+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006866s ]

[ 2017-06-23T10:52:57+08:00 ] 127.0.0.1 /
[ 2017-06-23T10:52:56+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007579s ]
[ 2017-06-23T10:52:56+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006012s ]
[ 2017-06-23T10:52:56+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006904s ]
[ 2017-06-23T10:52:56+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.006495s ]
[ 2017-06-23T10:52:56+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006363s ]
[ 2017-06-23T10:52:57+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007318s ]
[ 2017-06-23T10:52:57+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.005781s ]
[ 2017-06-23T10:52:57+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006622s ]
[ 2017-06-23T10:52:57+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.006633s ]

[ 2017-06-23T10:52:57+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006856s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006658s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007914s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.006389s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.006184s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005704s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007708s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.006239s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005890s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.006499s ]
[ 2017-06-23T10:52:57+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='3' ORDER BY sort desc,timeadd asc  [ RunTime:0.006897s ]

[ 2017-06-23T10:52:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:52:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:52:57+08:00 ] 127.0.0.1 /Index/system
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005606s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004943s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006597s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.004233s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004764s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.005682s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SELECT `typeid` FROM `user` WHERE id=9 LIMIT 1   [ RunTime:0.004465s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM user u [ RunTime:0.004861s ]
[ 2017-06-23T10:52:57+08:00 ] /Index/system | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=9 and at.status=1 LIMIT 1   [ RunTime:0.004628s ]

[ 2017-06-23T10:53:01+08:00 ]  127.0.0.1 /Public/logout.html | ERR: (ThinkException) 非法操作logout
[ 2017-06-23T10:53:01+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-23T10:53:06+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-23T10:53:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007099s ]
[ 2017-06-23T10:53:06+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007100s ]
