[ 2017-10-16T13:53:41+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-10-16T13:53:41+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-10-16T13:53:46+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008538s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007280s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009392s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.008024s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007855s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007670s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-10-16 13:53:46',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.007570s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-10-16 13:53:46',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.008337s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.010194s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.009800s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='257b8d86d97ddf703ba73363ccf54dcc',`username`='tangchaopei',`logintime`='2017-10-16 13:53:46' WHERE username='tangchaopei' [ RunTime:0.007956s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007231s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.011015s ]
[ 2017-10-16T13:53:46+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'24','用户登录',1,'127.0.0.1','2017-10-16 13:53:46') [ RunTime:0.013719s ]

[ 2017-10-16T13:53:47+08:00 ] 127.0.0.1 /
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007493s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008000s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008520s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.007795s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.007210s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.010890s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=24 LIMIT 1   [ RunTime:0.006965s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006885s ]
[ 2017-10-16T13:53:46+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=24 and at.status=1 LIMIT 1   [ RunTime:0.006715s ]

[ 2017-10-16T13:53:47+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006566s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006278s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006445s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.006402s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.006264s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005740s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007671s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=24 LIMIT 1   [ RunTime:0.005964s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005441s ]
[ 2017-10-16T13:53:47+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=24 and at.status=1 LIMIT 1   [ RunTime:0.007223s ]
