[ 2017-07-12T09:13:42+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-12T09:13:42+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-12T09:13:48+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007309s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007689s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008173s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.007864s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007477s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007383s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-12 09:13:48',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.007966s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-12 09:13:48',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.007626s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.008808s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.007222s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='7971926c535780c8579592a17365e7ff',`username`='tangchaopei',`logintime`='2017-07-12 09:13:48' WHERE username='tangchaopei' [ RunTime:0.006600s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008200s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008695s ]
[ 2017-07-12T09:13:48+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'24','用户登录',1,'127.0.0.1','2017-07-12 09:13:48') [ RunTime:0.010930s ]

[ 2017-07-12T09:13:49+08:00 ] 127.0.0.1 /
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008261s ]
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008651s ]
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007922s ]
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.007948s ]
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006877s ]
[ 2017-07-12T09:13:48+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.012215s ]
