[ 2017-07-04T09:38:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-04T09:38:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-04T09:38:10+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006119s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005495s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006975s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='baidu' LIMIT 1   [ RunTime:0.006344s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.004826s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005970s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-04 09:38:10',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.007442s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-04 09:38:10',`lastip`='127.0.0.1' WHERE username='baidu' [ RunTime:0.005096s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.005927s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='baidu' LIMIT 1   [ RunTime:0.004581s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='6b2fa0b3f3b07d041350c4c61e902082',`username`='baidu',`logintime`='2017-07-04 09:38:10' WHERE username='baidu' [ RunTime:0.005202s ]
[ 2017-07-04T09:38:10+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005073s ]

[ 2017-07-04T09:38:11+08:00 ] 127.0.0.1 /
[ 2017-07-04T09:38:11+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005905s ]
[ 2017-07-04T09:38:11+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.003962s ]
[ 2017-07-04T09:38:11+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005481s ]
[ 2017-07-04T09:38:11+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='9' LIMIT 1   [ RunTime:0.004771s ]
[ 2017-07-04T09:38:11+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004255s ]
