[ 2017-07-11T16:45:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T16:45:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T16:46:01+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006102s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007420s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008230s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.009139s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.011107s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.016970s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-11 16:46:01',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.017925s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-11 16:46:01',`lastip`='127.0.0.1' WHERE username='tangchaopei' [ RunTime:0.013996s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.008941s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='tangchaopei' LIMIT 1   [ RunTime:0.007753s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='eeb3a4f10cce655257a9a9184871bce6',`username`='tangchaopei',`logintime`='2017-07-11 16:46:01' WHERE username='tangchaopei' [ RunTime:0.006157s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005528s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.005538s ]
[ 2017-07-11T16:46:01+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'24','用户登录',1,'127.0.0.1','2017-07-11 16:46:01') [ RunTime:0.008214s ]

[ 2017-07-11T16:46:02+08:00 ] 127.0.0.1 /
[ 2017-07-11T16:46:01+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009211s ]
[ 2017-07-11T16:46:01+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008442s ]
[ 2017-07-11T16:46:01+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.012046s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='24' LIMIT 1   [ RunTime:0.010235s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.010282s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.010195s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=24 LIMIT 1   [ RunTime:0.008487s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005886s ]
[ 2017-07-11T16:46:02+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=24 and at.status=1 LIMIT 1   [ RunTime:0.007634s ]

[ 2017-07-11T16:46:02+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-11T16:46:02+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007698s ]
