[ 2017-06-19T09:03:58+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:03:58+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:06+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007886s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006735s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006737s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006572s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-19 09:04:06',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006199s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-19 09:04:06',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006571s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007750s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qjx LIMIT 1   [ RunTime:0.005671s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('7487e9f67a4d47bfd0a8396b153e915d','qjx','2017-06-19 09:04:06','1') [ RunTime:0.006969s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006090s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007057s ]
[ 2017-06-19T09:04:06+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-19 09:04:06') [ RunTime:0.008550s ]

[ 2017-06-19T09:04:06+08:00 ]  127.0.0.1 /undefined | ERR: (ThinkException) 无法加载模块undefined
[ 2017-06-19T09:04:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:14+08:00 ]  127.0.0.1 /undefined | ERR: (ThinkException) 无法加载模块undefined
[ 2017-06-19T09:04:14+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:22+08:00 ] 127.0.0.1 /
[ 2017-06-19T09:04:22+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005816s ]
[ 2017-06-19T09:04:22+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004484s ]
[ 2017-06-19T09:04:22+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007343s ]
[ 2017-06-19T09:04:22+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008727s ]
[ 2017-06-19T09:04:22+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.009211s ]

[ 2017-06-19T09:04:22+08:00 ] 127.0.0.1 /Public/getJsMenu.html
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006591s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006191s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007200s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.005636s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.006021s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005377s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007043s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005158s ]
[ 2017-06-19T09:04:22+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.006590s ]

[ 2017-06-19T09:04:22+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:22+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:04:22+08:00 ] 127.0.0.1 /Index/system.html
[ 2017-06-19T09:04:22+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006992s ]
[ 2017-06-19T09:04:22+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006559s ]
