[ 2017-09-20T16:05:35+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-09-20T16:05:35+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-09-20T16:05:39+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009559s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008686s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007801s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.009633s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006137s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008244s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-09-20 16:05:39',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.012576s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-09-20 16:05:39',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.012374s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.011704s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.006435s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='06b9c7230591265270b1b6e5c5b14965',`username`='qjx',`logintime`='2017-09-20 16:05:39' WHERE username='qjx' [ RunTime:0.007528s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.011689s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.020983s ]
[ 2017-09-20T16:05:39+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-09-20 16:05:39') [ RunTime:0.026632s ]

[ 2017-09-20T16:05:39+08:00 ] 127.0.0.1 /
[ 2017-09-20T16:05:39+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007612s ]
[ 2017-09-20T16:05:39+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005670s ]
[ 2017-09-20T16:05:39+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.010922s ]
[ 2017-09-20T16:05:39+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009630s ]
[ 2017-09-20T16:05:39+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005887s ]

[ 2017-09-20T16:05:40+08:00 ] 127.0.0.1 /Public/getJsMenu.html
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006507s ]
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006318s ]
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006948s ]
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.006101s ]
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.005745s ]
[ 2017-09-20T16:05:40+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006175s ]
