[ 2017-06-28T15:31:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-28T15:31:09+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-28T15:31:18+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007747s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006097s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007762s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.007624s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007349s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007539s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-28 15:31:18',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006449s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-28 15:31:18',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005775s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007499s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.006064s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='089344f05f5532bae236b51c5ea820ea',`username`='qjx',`logintime`='2017-06-28 15:31:18' WHERE username='qjx' [ RunTime:0.007176s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006671s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008249s ]
[ 2017-06-28T15:31:18+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-28 15:31:18') [ RunTime:0.009042s ]

[ 2017-06-28T15:31:18+08:00 ] 127.0.0.1 /
[ 2017-06-28T15:31:18+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006675s ]
[ 2017-06-28T15:31:18+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006135s ]
[ 2017-06-28T15:31:18+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008363s ]
[ 2017-06-28T15:31:18+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008055s ]
[ 2017-06-28T15:31:18+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005568s ]

[ 2017-06-28T15:31:19+08:00 ] 127.0.0.1 /Public/getJsMenu.html
