[ 2017-07-04T09:37:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-04T09:37:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-04T09:37:13+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007165s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006894s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008307s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006790s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006972s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006515s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-04 09:37:13',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006339s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-04 09:37:13',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.007508s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007159s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.007667s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='e6e0eee951597c45316757860a4aefc5',`username`='qjx',`logintime`='2017-07-04 09:37:13' WHERE username='qjx' [ RunTime:0.005798s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007243s ]
[ 2017-07-04T09:37:13+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008275s ]
