[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005107s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.006293s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM `member` WHERE (  (`timeadd` BETWEEN '2017-06-30' AND '2017-06-30 23:59:59' ) ) LIMIT 1   [ RunTime:0.005657s ]
[ 2017-06-30T10:12:02+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM `member` LIMIT 1   [ RunTime:0.005992s ]

[ 2017-06-30T10:12:03+08:00 ] 127.0.0.1 /Menu/index.html
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006457s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005573s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005904s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006500s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005423s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005647s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007338s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006656s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005892s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007212s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT `typeid` FROM `user` WHERE id= LIMIT 1   [ RunTime:0.005526s ]
[ 2017-06-30T10:12:03+08:00 ] /Menu/index.html | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.006690s ]

[ 2017-06-30T10:12:03+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:12:05+08:00 ] 127.0.0.1 /Menu/add/groupid/3
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006695s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005921s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005670s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.007523s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006504s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006728s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007886s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.010082s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006003s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='3' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007798s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT `typeid` FROM `user` WHERE id= LIMIT 1   [ RunTime:0.006305s ]
[ 2017-06-30T10:12:05+08:00 ] /Menu/add/groupid/3 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='3' ORDER BY sort desc,timeadd asc  [ RunTime:0.007669s ]

[ 2017-06-30T10:12:32+08:00 ] 127.0.0.1 /Menu/edit.html
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007149s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005625s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005169s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006607s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006076s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005904s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007005s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006347s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006001s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: INSERT INTO `auth_rule` (`groupid`,`pid`,`name`,`title`,`operateuser`,`status`,`type`,`lasttime`,`timeadd`,`adduser`) VALUES ('3','93','Order-refuseOrder','拒单','1','1','2','2017-06-30 10:12:32','2017-06-30 10:12:32','1') [ RunTime:0.009177s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.006732s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/edit.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','编辑菜单【拒单】',1,'127.0.0.1','2017-06-30 10:12:32') [ RunTime:0.008562s ]

[ 2017-06-30T10:12:32+08:00 ] 127.0.0.1 /Menu/index
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005718s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004847s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT * FROM `auth_group`  [ RunTime:0.004799s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006473s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005039s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004434s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007031s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006682s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004601s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006560s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT `typeid` FROM `user` WHERE id= LIMIT 1   [ RunTime:0.004696s ]
[ 2017-06-30T10:12:32+08:00 ] /Menu/index | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.006936s ]

[ 2017-06-30T10:12:35+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-30T10:12:35+08:00 ] 127.0.0.1 /Role/index.html
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005640s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004612s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005596s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006937s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005914s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005157s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007171s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005697s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005596s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005251s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005433s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006069s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006673s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005303s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005586s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SHOW COLUMNS FROM auth_type at [ RunTime:0.004466s ]
[ 2017-06-30T10:12:35+08:00 ] /Role/index.html | SQL: SELECT at.*,u.username,ag.title as group_name FROM auth_type at LEFT JOIN user u on u.id=at.adduser LEFT JOIN auth_group ag on ag.id=at.groupid ORDER BY at.timeadd desc  [ RunTime:0.005641s ]

[ 2017-06-30T10:12:45+08:00 ] 127.0.0.1 /Role/edit/id/14.html
[ 2017-06-30T10:12:44+08:00 ] /Role/edit/id/14.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006620s ]
[ 2017-06-30T10:12:44+08:00 ] /Role/edit/id/14.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005119s ]
