[ 2017-06-26T10:46:20+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T10:46:28+08:00 ] 127.0.0.1 /Public/autoLogin
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006788s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005299s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006589s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user` WHERE username='qudao1' LIMIT 1   [ RunTime:0.006277s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006778s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005601s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `lasttime`='2017-06-26 10:46:28',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.005699s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-26 10:46:28',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.005471s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006236s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user_token` WHERE username='qudao1' LIMIT 1   [ RunTime:0.005786s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: UPDATE `user_token` SET `token`='582359cbfe9594e40c56dee942e16e1e',`username`='qudao1',`logintime`='2017-06-26 10:46:28' WHERE username='qudao1' [ RunTime:0.005644s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006108s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007815s ]
[ 2017-06-26T10:46:28+08:00 ] /Public/autoLogin | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'8','用户登录',1,'127.0.0.1','2017-06-26 10:46:28') [ RunTime:0.007886s ]

[ 2017-06-26T10:46:29+08:00 ] 127.0.0.1 /
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005740s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005214s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008170s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.007754s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005197s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007309s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.004896s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005288s ]
[ 2017-06-26T10:46:28+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.006175s ]

[ 2017-06-26T10:46:29+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007980s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006046s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007111s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.006261s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.006030s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006105s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007041s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.006640s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006722s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.006576s ]
[ 2017-06-26T10:46:29+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='2' ORDER BY sort desc,timeadd asc  [ RunTime:0.007247s ]

[ 2017-06-26T10:46:29+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-26T10:46:29+08:00 ] 127.0.0.1 /Index/system
[ 2017-06-26T10:46:29+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007905s ]
[ 2017-06-26T10:46:29+08:00 ] /Index/system | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005629s ]
