[ 2017-07-05T14:20:07+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-05T14:20:20+08:00 ] 127.0.0.1 /Public/autoLogin
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008225s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006343s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008469s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user` WHERE username='qudao1' LIMIT 1   [ RunTime:0.007733s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007309s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007589s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `lasttime`='2017-07-05 14:20:20',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.006877s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-05 14:20:20',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.006554s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007109s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user_token` WHERE username='qudao1' LIMIT 1   [ RunTime:0.007400s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: UPDATE `user_token` SET `token`='09ac75c540fe8c76b2e333ee1666beac',`username`='qudao1',`logintime`='2017-07-05 14:20:20' WHERE username='qudao1' [ RunTime:0.006139s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007164s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008955s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/autoLogin | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'8','用户登录',1,'127.0.0.1','2017-07-05 14:20:20') [ RunTime:0.009325s ]

[ 2017-07-05T14:20:20+08:00 ] 127.0.0.1 /
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.008538s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006365s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.010297s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.010707s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.008881s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.010904s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.006013s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006028s ]
[ 2017-07-05T14:20:20+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.006714s ]

[ 2017-07-05T14:20:21+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-05T14:20:20+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009056s ]
[ 2017-07-05T14:20:20+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.008469s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007316s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.006737s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.007663s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006222s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007398s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.007438s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005869s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.005917s ]
[ 2017-07-05T14:20:21+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='2' ORDER BY sort desc,timeadd asc  [ RunTime:0.006909s ]

[ 2017-07-05T14:20:21+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-05T14:20:21+08:00 ] 127.0.0.1 /Index/system
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007932s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007466s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009121s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT `groupid` FROM `user` WHERE id='8' LIMIT 1   [ RunTime:0.007042s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006889s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007248s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT `typeid` FROM `user` WHERE id=8 LIMIT 1   [ RunTime:0.006196s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006872s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=8 and at.status=1 LIMIT 1   [ RunTime:0.006099s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006968s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `business_company` [ RunTime:0.012153s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `channel_company` [ RunTime:0.008238s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT b.*,c.companyname as channel_companyname,c.id as channel_company_id,c.channel_level,concat('http://static.newjieba.com/Upload/businessCompany/company/',b.id,'/',b.legal_certinumber_pic) as legal_certinumber_path,concat('http://static.newjieba.com/Upload/businessCompany/company/',b.id,'/',b.license_number_pic) as license_number_path,concat('http://static.newjieba.com/Upload/businessCompany/company/',b.id,'/',b.agreement1_pic) as agreement1_path,concat('http://static.newjieba.com/Upload/businessCompany/company/',b.id,'/',b.agreement2_pic) as agreement2_path FROM business_company as b,channel_company as c,business_channel as bc WHERE ( c.id = '4' ) AND ( b.id = bc.business_company_id and bc.channel_company_id = c.id  )  [ RunTime:0.010065s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.007399s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT COUNT(*) AS tp_count FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( bus.id IN () ) AND ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id ) LIMIT 1   [ RunTime:0.007093s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT m.*,mi.names,mi.certiNumber,mi.nameStatus,cha.companyname as channel_companyname,bus.companyname as business_companyname FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( bus.id IN () ) AND ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id )  [ RunTime:0.005612s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `member_import` [ RunTime:0.008880s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT * FROM `member_import` WHERE ( `business_company_id` = null ) AND ( `certiNumber` = null ) LIMIT 1   [ RunTime:0.006939s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `baofu_bindcard` [ RunTime:0.010329s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT `acc_no` FROM `baofu_bindcard` WHERE ( `memberid` = null ) LIMIT 1   [ RunTime:0.006871s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.008329s ]
[ 2017-07-05T14:20:21+08:00 ] /Index/system | SQL: SELECT COUNT(*) AS tp_count FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( m.timeadd >= '2017-07-05' ) AND ( bus.id IN () ) AND ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id ) LIMIT 1   [ RunTime:0.005301s ]
