[ 2017-06-16T17:17:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:17:32+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:17:32+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:17:40+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006480s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004923s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006440s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006542s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006687s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005760s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-16 17:17:40',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006186s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-16 17:17:40',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006868s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007115s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qjx LIMIT 1   [ RunTime:0.005266s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('6cee2c21a7a4bb0548db91f32e691745','qjx','2017-06-16 17:17:40','1') [ RunTime:0.006106s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005858s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007483s ]
[ 2017-06-16T17:17:40+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-16 17:17:40') [ RunTime:0.009076s ]

[ 2017-06-16T17:17:40+08:00 ] 127.0.0.1 /
[ 2017-06-16T17:17:40+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005978s ]
[ 2017-06-16T17:17:40+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004793s ]
[ 2017-06-16T17:17:40+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007830s ]
[ 2017-06-16T17:17:40+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007374s ]
[ 2017-06-16T17:17:40+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005832s ]

[ 2017-06-16T17:17:40+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:18:20+08:00 ] 127.0.0.1 /
[ 2017-06-16T17:18:20+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007316s ]
[ 2017-06-16T17:18:20+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006629s ]
[ 2017-06-16T17:18:20+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008779s ]
[ 2017-06-16T17:18:20+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007233s ]
[ 2017-06-16T17:18:20+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005986s ]

[ 2017-06-16T17:18:20+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:20:56+08:00 ] 127.0.0.1 /
[ 2017-06-16T17:20:56+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006619s ]
[ 2017-06-16T17:20:56+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006718s ]
[ 2017-06-16T17:20:56+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008547s ]
[ 2017-06-16T17:20:56+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008671s ]
[ 2017-06-16T17:20:56+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.007111s ]

[ 2017-06-16T17:20:56+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:20:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:20:57+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:21:15+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:21:19+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006187s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006203s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006411s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.006145s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005842s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006130s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-16 17:21:19',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005879s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-16 17:21:19',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005513s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006389s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qjx LIMIT 1   [ RunTime:0.006061s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('76a9f51d162aee65bf717760fc33e034','qjx','2017-06-16 17:21:19','1') [ RunTime:0.005966s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006817s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007158s ]
[ 2017-06-16T17:21:19+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-16 17:21:19') [ RunTime:0.008858s ]

[ 2017-06-16T17:21:47+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:21:52+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007257s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006680s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007140s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.008320s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008871s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006853s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-16 17:21:52',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006731s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-16 17:21:52',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006920s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.008389s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qjx LIMIT 1   [ RunTime:0.006561s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('127de3bba44d8ab86592372b9acd555e','qjx','2017-06-16 17:21:52','1') [ RunTime:0.006602s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007336s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.008883s ]
[ 2017-06-16T17:21:52+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-06-16 17:21:52') [ RunTime:0.009512s ]

[ 2017-06-16T17:22:10+08:00 ] 127.0.0.1 /
[ 2017-06-16T17:22:10+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005571s ]
[ 2017-06-16T17:22:10+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005656s ]
[ 2017-06-16T17:22:10+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006940s ]
[ 2017-06-16T17:22:10+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007323s ]
[ 2017-06-16T17:22:10+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006369s ]

[ 2017-06-16T17:22:10+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:22:25+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:22:25+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-16T17:22:32+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006065s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007172s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009913s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.009496s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006317s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005889s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-16 17:22:32',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006189s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-16 17:22:32',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.005408s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007075s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qjx LIMIT 1   [ RunTime:0.004878s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('bc98f3c361f98f70c600d5e7cdbcfb81','qjx','2017-06-16 17:22:32','1') [ RunTime:0.005951s ]
[ 2017-06-16T17:22:32+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005636s ]
