[ 2017-06-19T09:11:16+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:11:16+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:24:07+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:24:26+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-06-19T09:24:39+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005558s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005403s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006054s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qudao1' LIMIT 1   [ RunTime:0.005995s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006473s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005506s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-06-19 09:24:39',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.006036s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-06-19 09:24:39',`lastip`='127.0.0.1' WHERE username='qudao1' [ RunTime:0.005160s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006061s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE userid=qudao1 LIMIT 1   [ RunTime:0.004657s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_token` (`token`,`username`,`logintime`,`userid`) VALUES ('5c8491927a1c198d29d061528744821e','qudao1','2017-06-19 09:24:39','8') [ RunTime:0.005212s ]
[ 2017-06-19T09:24:39+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005068s ]
