[ 2017-07-06T16:06:04+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-06T16:07:56+08:00 ] 127.0.0.1 /Public/autoLogin
[ 2017-07-06T16:07:56+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007352s ]
[ 2017-07-06T16:07:56+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005481s ]
[ 2017-07-06T16:07:56+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006910s ]
[ 2017-07-06T16:07:56+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user` WHERE username='quao' LIMIT 1   [ RunTime:0.005731s ]

[ 2017-07-06T17:08:08+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-06T17:08:18+08:00 ] 127.0.0.1 /Public/autoLogin
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006456s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005533s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006687s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user` WHERE username='qudao' LIMIT 1   [ RunTime:0.006307s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005891s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.005563s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `lasttime`='2017-07-06 17:08:18',`lastip`='127.0.0.1' WHERE username='qudao' [ RunTime:0.005512s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-06 17:08:18',`lastip`='127.0.0.1' WHERE username='qudao' [ RunTime:0.005755s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.006522s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SELECT * FROM `user_token` WHERE username='qudao' LIMIT 1   [ RunTime:0.005206s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: UPDATE `user_token` SET `token`='ad1bc7f971063eaae5fa703bafa9d302',`username`='qudao',`logintime`='2017-07-06 17:08:18' WHERE username='qudao' [ RunTime:0.005761s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006190s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.007503s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/autoLogin | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'22','用户登录',1,'127.0.0.1','2017-07-06 17:08:18') [ RunTime:0.011286s ]

[ 2017-07-06T17:08:18+08:00 ] 127.0.0.1 /
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.010712s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005265s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007715s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SELECT `groupid` FROM `user` WHERE id='22' LIMIT 1   [ RunTime:0.005494s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.009063s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007055s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=22 LIMIT 1   [ RunTime:0.005187s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SHOW COLUMNS FROM user u [ RunTime:0.006222s ]
[ 2017-07-06T17:08:18+08:00 ] / | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=22 and at.status=1 LIMIT 1   [ RunTime:0.004982s ]

[ 2017-07-06T17:08:19+08:00 ] 127.0.0.1 /Public/getJsMenu.html?is_menu=1
[ 2017-07-06T17:08:18+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005650s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004516s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006173s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='22' LIMIT 1   [ RunTime:0.007339s ]
[ 2017-07-06T17:08:18+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `groupid` FROM `user` WHERE id='22' LIMIT 1   [ RunTime:0.005568s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005031s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007824s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT `typeid` FROM `user` WHERE id=22 LIMIT 1   [ RunTime:0.005604s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.004911s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=22 and at.status=1 LIMIT 1   [ RunTime:0.005432s ]
[ 2017-07-06T17:08:19+08:00 ] /Public/getJsMenu.html?is_menu=1 | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='2' ORDER BY sort desc,timeadd asc  [ RunTime:0.006126s ]

[ 2017-07-06T17:08:20+08:00 ] 127.0.0.1 /Index/system
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.006551s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005108s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006449s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SELECT `groupid` FROM `user` WHERE id='22' LIMIT 1   [ RunTime:0.005525s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.006372s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='2' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007790s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SELECT `typeid` FROM `user` WHERE id=22 LIMIT 1   [ RunTime:0.004632s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM user u [ RunTime:0.010014s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SELECT at.rule FROM user u LEFT JOIN auth_type at on at.id=u.typeid WHERE u.id=22 and at.status=1 LIMIT 1   [ RunTime:0.007715s ]
[ 2017-07-06T17:08:19+08:00 ] /Index/system | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.008356s ]
